# Mapping: EKS course chapter -> course lab
#
# Format: <chapter> TAB <lab> TAB <status> TAB <title>
#   status = todo -> lab has to be built
#            ready -> lab exists and is linked from the chapter
#
# INDEPENDENT SET. The course has its own lab set numbered 101+, exactly like the CKA
# course got labs 101-125 next to the untouched older labs. The existing EKS labs 01-04
# are NOT part of the course and MUST NOT be modified: no edits, no renames, no added
# tasks. If a topic is already covered by an old lab, the course still gets its own lab.
#
# RULE: the test-tube marker in the contents page goes ONLY into a chapter whose own
# course lab already exists. Until a lab is built, its chapter carries no marker.
#
# Every lab follows the existing EKS lab layout:
#   env.hcl, vpc/, eks_control_plane/, eks_addons/, worker/ with
#   worker/files/{worker.sh,tests.bats,tasks/,solutions/}
# check_result = bats /var/work/tests/tests.bats
#
# Chapter numbers refer to tasks/eks/course/README_RU.md (48 chapters).
#
04,06,09,10	101	ready	Cluster as code: VPC, control plane, managed node group, kubeconfig
# Chapters 08, 20, 22, 25, 28, 40, 46 used to be listed here as "candidate for a later
# lab". They now have labs 132, 130, 127, 129, 128, 131, 126 in the second wave above.
#
# NOTE on chapters 41-42 (AWS Backup for EKS). Lab prerequisites, taken from
# https://docs.aws.amazon.com/aws-backup/latest/devguide/eks-backups.html :
#   - cluster authentication mode must be API or API_AND_CONFIG_MAP, AWS Backup
#     creates its own access entry
#   - backup role: AWSBackupServiceRolePolicyForBackup, restore role:
#     AWSBackupServiceRolePolicyForRestores
#   - EBS CSI addon must be installed on the restore target
#   - restores are non-destructive, existing objects are never overwritten, so the
#     lab has to delete the namespace (or restore into a second cluster) to show it
#   - not supported: in-tree volumes and CSI migration, FSx via CSI, S3 prefixes,
#     cross-account EFS, EFS non-root subpath mounts, EKS on Outposts
#
# NOTE on lab 126 (security groups for pods). Prerequisites, taken from
# https://docs.aws.amazon.com/eks/latest/userguide/security-groups-pods-deployment.html :
#   - Nitro instances only, no instance type from the t family is supported, so the
#     NodePool requirements of the lab must exclude it
#   - AmazonEKSVPCResourceController managed policy on the cluster IAM role
#   - ENABLE_POD_ENI=true on the aws-node DaemonSet (creates the trunk interface)
#   - DISABLE_TCP_EARLY_DEMUX=true in the aws-node init container, otherwise kubelet
#     probes cannot reach pods on branch interfaces (not needed on VPC CNI 1.11.0+ with
#     POD_SECURITY_GROUP_ENFORCING_MODE=standard)
#   - the teaching moment is the missing rules: inbound from the node SG on probe ports,
#     outbound 53 over TCP and UDP, plus the matching inbound 53 on the CoreDNS side
#   - pod SG rules do not apply between pods on the same node, so the symptom flickers
#     depending on where CoreDNS landed - the lab has to pin that down
